user_id,age,gender,subscription_plan,monthly_spend,household_size,total_sessions,avg_watch_duration,avg_progress_pct,total_reviews,avg_review_rating,total_searches,rec_click_rate,is_active
user_00001,43.0,Male,Basic,36.06,1.0,13,71.46666666666667,68.38333333333334,1.0,4.0,1.0,0.0,True
user_00002,38.0,Male,Premium+,14.59,2.0,15,50.957142857142856,57.66923076923077,4.0,3.5,3.0,,True
user_00003,32.0,Female,Standard,11.71,3.0,9,73.43333333333334,37.849999999999994,1.0,4.0,,0.3333333333333333,False
user_00004,11.0,Male,Standard,28.56,2.0,15,88.20769230769231,41.406666666666666,4.0,2.25,2.0,0.0,True
user_00005,21.0,Female,Standard,9.54,6.0,10,80.13333333333333,56.544444444444444,3.0,3.3333333333333335,2.0,0.0,True
user_00006,43.0,Female,Standard,,2.0,12,40.70909090909091,63.583333333333336,1.0,3.0,1.0,0.0,True
user_00007,63.0,,Premium,27.74,1.0,12,60.2,37.79,3.0,4.0,2.0,0.0,True
user_00008,,Male,Basic,6.69,1.0,11,45.544444444444444,38.79090909090909,,,2.0,0.0,True
user_00009,24.0,Male,Premium,12.21,5.0,7,64.66666666666667,47.25,,,2.0,0.0,True
user_00010,24.0,Male,Basic,23.18,1.0,9,65.54444444444444,59.78888888888889,2.0,2.5,3.0,0.0,True
user_00011,67.0,Female,Basic,556.13,2.0,13,55.87692307692308,35.925,1.0,5.0,,0.5,True
user_00012,41.0,Female,Premium,29.23,2.0,16,42.82857142857143,46.40625,,,5.0,0.25,True
user_00013,32.0,Female,Basic,18.68,3.0,11,77.22999999999999,45.95,2.0,3.5,5.0,0.0,True
user_00014,22.0,Male,Basic,25.19,2.0,12,69.78181818181818,60.050000000000004,2.0,3.0,7.0,0.0,True
user_00015,45.0,Female,Basic,5.14,3.0,9,58.91111111111112,46.8625,2.0,4.0,2.0,0.0,False
user_00016,50.0,Female,Standard,3.36,1.0,8,45.11666666666667,53.9,2.0,2.5,3.0,0.0,True
user_00017,25.0,Female,Premium,,1.0,10,59.15555555555555,47.23333333333333,2.0,3.5,1.0,0.6666666666666666,True
user_00018,36.0,Female,Basic,8.78,6.0,8,49.0,49.875,4.0,3.5,2.0,0.0,True
user_00019,26.0,Other,Premium,10.28,7.0,16,82.45,51.79333333333333,3.0,4.666666666666667,4.0,0.0,True
user_00020,31.0,Female,Premium+,11.32,,11,66.425,53.690909090909095,1.0,5.0,1.0,0.0,True
user_00021,38.0,Female,Basic,17.24,3.0,9,45.08,65.9,1.0,3.0,2.0,0.0,True
user_00022,33.0,Male,Premium+,,2.0,14,59.42857142857143,47.51538461538462,,,2.0,0.25,True
user_00023,40.0,Female,Basic,,3.0,17,122.47333333333334,56.4,1.0,5.0,3.0,0.16666666666666666,True
user_00024,,Female,Standard,23.83,2.0,10,137.4625,37.63,2.0,4.0,1.0,0.0,True
user_00025,36.0,Male,Premium+,11.97,,10,87.39,39.62222222222223,4.0,4.0,6.0,0.3333333333333333,False
user_00026,60.0,Prefer not to say,Basic,36.53,2.0,10,57.7125,51.46,2.0,4.0,5.0,0.0,True
user_00027,37.0,Female,Basic,17.72,2.0,12,61.02,43.88333333333333,3.0,4.0,1.0,0.0,True
user_00028,,Male,Standard,41.44,3.0,21,62.98947368421052,64.53333333333333,3.0,4.0,3.0,0.25,True
user_00029,28.0,Female,Basic,12.06,2.0,8,46.48333333333333,46.2,3.0,2.0,4.0,0.2857142857142857,True
user_00030,24.0,,Premium,10.17,4.0,10,55.8625,63.64444444444444,1.0,4.0,1.0,0.2,True
user_00031,26.0,Male,Premium+,18.19,2.0,7,67.65714285714286,41.300000000000004,,,1.0,0.26666666666666666,True
user_00032,56.0,Male,Premium+,7.49,4.0,10,34.955555555555556,60.96,2.0,4.5,5.0,0.3333333333333333,True
